,filename,emotion_id,video_id,sex,prosody,intensity_level
4681,A220_ple_v_3.mp4,23,A220,m,naro,3
4682,A323_gra_p_2.mp4,7,A323,f,meli,2
4683,A205_pos_sur_p_2.mp4,9,A205,f,naro,2
4684,A67_exc_p_3.mp4,36,A67,m,meli,3
4685,A200_ten_v_2.mp4,28,A200,m,naro,2
4686,A303_int_v_3.mp4,29,A303,m,meli,3
4687,A334_ple_v_3.mp4,23,A334,f,meli,3
4688,A102_scha_v_2.mp4,15,A102,f,naro,2
4689,A303_int_p_3.mp4,29,A303,m,meli,3
4690,A332_mov_v_3.mp4,42,A332,f,meli,3
4691,A207_sar_p_3.mp4,31,A207,m,naro,3
4692,A205_awe_v_3.mp4,18,A205,f,naro,3
4693,A426_tri_v_3.mp4,20,A426,f,naro,3
4694,A205_pos_sur_p_3.mp4,9,A205,f,naro,3
4695,A205_ten_v_3.mp4,28,A205,f,naro,3
4696,A303_conc_v_3.mp4,27,A303,m,meli,3
4697,A72_env_v_3.mp4,4,A72,m,naro,3
4698,A417_bor_p_2.mp4,26,A417,m,meli,2
4699,A220_awe_p_3.mp4,18,A220,m,naro,3
4700,A405_ple_v_3.mp4,23,A405,f,meli,3
4701,A425_hop_v_3.mp4,21,A425,f,naro,3
4702,A207_disa_v_3.mp4,37,A207,m,naro,3
4703,A424_rel_p_3.mp4,38,A424,f,meli,3
4704,A437_pos_sur_v_3.mp4,9,A437,m,naro,3
4705,A64_conc_p_2.mp4,27,A64,m,meli,2
4706,A205_gra_p_3.mp4,7,A205,f,naro,3
4707,A205_env_p_2.mp4,4,A205,f,naro,2
4708,A426_rej_p_2.mp4,14,A426,f,naro,2
4709,A424_rej_v_2.mp4,14,A424,f,meli,2
4710,A221_sad_v_2.mp4,6,A221,f,naro,2
4711,A425_hop_p_2.mp4,21,A425,f,naro,2
4712,A417_conf_p_2.mp4,1,A417,m,meli,2
4713,A438_ple_p_2.mp4,23,A438,m,naro,2
4714,A64_pos_sur_v_3.mp4,9,A64,m,meli,3
4715,A200_det_p_3.mp4,2,A200,m,naro,3
4716,A426_bor_p_3.mp4,26,A426,f,naro,3
4717,A417_tri_v_3.mp4,20,A417,m,meli,3
4718,A327_gra_p_3.mp4,7,A327,m,meli,3
4719,A205_pos_sur_v_2.mp4,9,A205,f,naro,2
4720,A410_rej_p_2.mp4,14,A410,m,meli,2
4721,A417_scha_p_3.mp4,15,A417,m,meli,3
4722,A72_awe_v_2.mp4,18,A72,m,naro,2
4723,A72_conf_p_2.mp4,1,A72,m,naro,2
4724,A227_pri_v_3.mp4,41,A227,f,naro,3
4725,A227_neg_sur_p_3.mp4,11,A227,f,naro,3
4726,A410_gui_p_3.mp4,40,A410,m,meli,3
4727,A435_nos_p_2.mp4,30,A435,m,naro,2
4728,A207_ins_v_2.mp4,19,A207,m,naro,2
4729,A207_dou_v_2.mp4,3,A207,m,naro,2
4730,A424_neu_sit4_p.mp4,22,A424,f,meli,0
4731,A405_reg_p_3.mp4,0,A405,f,meli,3
4732,A55_dou_v_3_ver1.mp4,3,A55,m,meli,3
4733,A332_emb_p_3.mp4,39,A332,f,meli,3
4734,A424_pea_v_2.mp4,25,A424,f,meli,2
4735,A221_emb_p_2.mp4,39,A221,f,naro,2
4736,A323_rej_p_2.mp4,14,A323,f,meli,2
4737,A323_disa_p_3.mp4,37,A323,f,meli,3
4738,A102_cont_v_3.mp4,32,A102,f,naro,3
4739,A337_hop_v_3.mp4,21,A337,f,meli,3
4740,A67_ele_v_2.mp4,8,A67,m,meli,2
4741,A221_ple_p_2.mp4,23,A221,f,naro,2
4742,A227_ple_v_2.mp4,23,A227,f,naro,2
4743,A407_hap_p_2.mp4,33,A407,f,meli,2
4744,A200_disa_v_3.mp4,37,A200,m,naro,3
4745,A332_neu_sit1_v.mp4,22,A332,f,meli,0
4746,A207_conc_v_3.mp4,27,A207,m,naro,3
4747,A72_conf_v_2.mp4,1,A72,m,naro,2
4748,A102_sat_v_2.mp4,16,A102,f,naro,2
4749,A91_fea_v_3.mp4,10,A91,f,naro,3
4750,A438_hap_p_2.mp4,33,A438,m,naro,2
4751,A437_pos_sur_p_2.mp4,9,A437,m,naro,2
4752,A435_amu_p_3.mp4,13,A435,m,naro,3
4753,A405_neg_sur_p_2.mp4,11,A405,f,meli,2
4754,A67_hop_v_3.mp4,21,A67,m,meli,3
4755,A437_sat_v_3.mp4,16,A437,m,naro,3
4756,A205_env_p_3.mp4,4,A205,f,naro,3
4757,A405_bor_p_2.mp4,26,A405,f,meli,2
4758,A424_bor_p_3.mp4,26,A424,f,meli,3
4759,A91_det_v_3.mp4,2,A91,f,naro,3
4760,A425_conc_p_3.mp4,27,A425,f,naro,3
4761,A425_pri_v_3.mp4,41,A425,f,naro,3
4762,A437_sex_p_2.mp4,24,A437,m,naro,2
4763,A435_ten_p_3.mp4,28,A435,m,naro,3
4764,A337_scha_p_3.mp4,15,A337,f,meli,3
4765,A205_anx_v_3.mp4,34,A205,f,naro,3
4766,A227_anx_p_3.mp4,34,A227,f,naro,3
4767,A438_gui_v_3.mp4,40,A438,m,naro,3
4768,A337_neg_sur_p_2.mp4,11,A337,f,meli,2
4769,A200_emb_v_3.mp4,39,A200,m,naro,3
4770,A407_mov_p_3.mp4,42,A407,f,meli,3
4771,A67_disg_p_3.mp4,35,A67,m,meli,3
4772,A424_neu_sit2_p.mp4,22,A424,f,meli,0
4773,A410_neu_sit3_p.mp4,22,A410,m,meli,0
4774,A55_anx_v_2_ver1.mp4,34,A55,m,meli,2
4775,A327_pri_v_2.mp4,41,A327,m,meli,2
4776,A438_exc_p_3.mp4,36,A438,m,naro,3
4777,A405_sar_p_3.mp4,31,A405,f,meli,3
4778,A91_sar_v_2.mp4,31,A91,f,naro,2
4779,A303_rel_v_2.mp4,38,A303,m,meli,2
4780,A102_mov_p_3.mp4,42,A102,f,naro,3
4781,A220_awe_p_2.mp4,18,A220,m,naro,2
4782,A425_rel_v_3.mp4,38,A425,f,naro,3
4783,A102_neg_sur_p_3.mp4,11,A102,f,naro,3
4784,A72_disa_p_2.mp4,37,A72,m,naro,2
4785,A207_pos_sur_p_2.mp4,9,A207,m,naro,2
4786,A332_scha_v_2.mp4,15,A332,f,meli,2
4787,A227_det_v_3.mp4,2,A227,f,naro,3
4788,A200_neu_sit1_p.mp4,22,A200,m,naro,0
4789,A64_disg_p_2.mp4,35,A64,m,meli,2
4790,A332_pri_v_2.mp4,41,A332,f,meli,2
4791,A426_pos_sur_v_3.mp4,9,A426,f,naro,3
4792,A200_sad_p_3.mp4,6,A200,m,naro,3
4793,A64_scha_p_3.mp4,15,A64,m,meli,3
4794,A425_rel_p_3.mp4,38,A425,f,naro,3
4795,A337_rej_v_3.mp4,14,A337,f,meli,3
4796,A435_mov_v_3.mp4,42,A435,m,naro,3
4797,A410_sat_p_3.mp4,16,A410,m,meli,3
4798,A91_hap_p_3.mp4,33,A91,f,naro,3
4799,A337_disa_v_3.mp4,37,A337,f,meli,3
4800,A438_ins_v_3.mp4,19,A438,m,naro,3
4801,A407_ten_v_2.mp4,28,A407,f,meli,2
4802,A405_sha_v_2.mp4,43,A405,f,meli,2
4803,A207_anx_v_3.mp4,34,A207,m,naro,3
4804,A323_reg_v_3.mp4,0,A323,f,meli,3
4805,A91_awe_v_2.mp4,18,A91,f,naro,2
4806,A332_mov_p_3.mp4,42,A332,f,meli,3
4807,A55_sad_v_2_ver1.mp4,6,A55,m,meli,2
4808,A334_neg_sur_p_3.mp4,11,A334,f,meli,3
4809,A72_neg_sur_p_3.mp4,11,A72,m,naro,3
4810,A200_tri_p_2.mp4,20,A200,m,naro,2
4811,A207_bor_p_2.mp4,26,A207,m,naro,2
4812,A435_ple_p_2.mp4,23,A435,m,naro,2
4813,A424_ele_v_3.mp4,8,A424,f,meli,3
4814,A72_hap_v_2.mp4,33,A72,m,naro,2
4815,A405_ele_p_2.mp4,8,A405,f,meli,2
4816,A72_neu_sit2_p.mp4,22,A72,m,naro,0
4817,A200_nos_p_3.mp4,30,A200,m,naro,3
4818,A323_bor_p_3.mp4,26,A323,f,meli,3
4819,A337_adm_p_3.mp4,5,A337,f,meli,3
4820,A435_sat_p_2.mp4,16,A435,m,naro,2
4821,A410_hap_v_2.mp4,33,A410,m,meli,2
4822,A303_tri_p_3.mp4,20,A303,m,meli,3
4823,A410_ele_p_2.mp4,8,A410,m,meli,2
4824,A438_sad_p_3.mp4,6,A438,m,naro,3
4825,A72_env_p_3.mp4,4,A72,m,naro,3
4826,A327_sat_p_3.mp4,16,A327,m,meli,3
4827,A227_adm_p_3.mp4,5,A227,f,naro,3
4828,A102_anx_v_3.mp4,34,A102,f,naro,3
4829,A426_ten_v_2.mp4,28,A426,f,naro,2
4830,A102_neu_sit2_v.mp4,22,A102,f,naro,0
4831,A200_pos_sur_p_3.mp4,9,A200,m,naro,3
4832,A55_scha_v_2_ver1.mp4,15,A55,m,meli,2
4833,A102_rel_v_3.mp4,38,A102,f,naro,3
4834,A410_disg_p_2.mp4,35,A410,m,meli,2
4835,A221_disg_v_3.mp4,35,A221,f,naro,3
4836,A200_conc_v_2.mp4,27,A200,m,naro,2
4837,A426_conf_v_2.mp4,1,A426,f,naro,2
4838,A323_rej_p_3.mp4,14,A323,f,meli,3
4839,A407_amu_p_3.mp4,13,A407,f,meli,3
4840,A332_nos_v_3.mp4,30,A332,f,meli,3
4841,A327_neg_sur_p_3.mp4,11,A327,m,meli,3
4842,A323_pri_p_2.mp4,41,A323,f,meli,2
4843,A207_sex_v_2.mp4,24,A207,m,naro,2
4844,A205_int_v_3.mp4,29,A205,f,naro,3
4845,A205_disa_p_3.mp4,37,A205,f,naro,3
4846,A437_sat_p_3.mp4,16,A437,m,naro,3
4847,A437_disg_v_2.mp4,35,A437,m,naro,2
4848,A437_neg_sur_v_3.mp4,11,A437,m,naro,3
4849,A424_sad_v_3.mp4,6,A424,f,meli,3
4850,A417_ple_p_3.mp4,23,A417,m,meli,3
4851,A221_neu_sit4_p.mp4,22,A221,f,naro,0
4852,A417_conc_v_3.mp4,27,A417,m,meli,3
4853,A426_neg_sur_p_3.mp4,11,A426,f,naro,3
4854,A437_ele_v_3.mp4,8,A437,m,naro,3
4855,A438_fea_p_2.mp4,10,A438,m,naro,2
4856,A221_emb_v_3.mp4,39,A221,f,naro,3
4857,A64_neu_sit4_v.mp4,22,A64,m,meli,0
4858,A91_dist_v_3.mp4,17,A91,f,naro,3
4859,A407_exc_v_3.mp4,36,A407,f,meli,3
4860,A424_gra_p_3.mp4,7,A424,f,meli,3
4861,A438_neg_sur_v_2.mp4,11,A438,m,naro,2
4862,A405_disg_p_2.mp4,35,A405,f,meli,2
4863,A205_int_v_2.mp4,29,A205,f,naro,2
4864,A205_sad_v_2.mp4,6,A205,f,naro,2
4865,A437_scha_v_2.mp4,15,A437,m,naro,2
4866,A72_cont_p_2.mp4,32,A72,m,naro,2
4867,A200_ten_v_3.mp4,28,A200,m,naro,3
4868,A417_amu_v_3.mp4,13,A417,m,meli,3
